timestamp_utc,pid,process_name,working_set_mb,private_mb,timeframe
2026-08-14T11:10:07.9054787Z,12392,uv,22.03,42.57,4h
2026-08-14T11:10:07.9054787Z,12780,python,3.16,0.88,4h
2026-08-14T11:10:07.9054787Z,10860,python,62.4,155.49,4h
2026-08-14T11:10:13.2093241Z,12392,uv,22.03,42.57,4h
2026-08-14T11:10:13.2093241Z,12780,python,3.16,0.88,4h
2026-08-14T11:10:13.2093241Z,10860,python,62.41,155.49,4h
2026-08-14T11:10:18.4984186Z,12392,uv,22.01,42.52,4h
2026-08-14T11:10:18.4984186Z,12780,python,3.12,0.8,4h
2026-08-14T11:10:18.4984186Z,10860,python,62.39,155.38,4h
2026-08-14T11:10:23.8656497Z,12392,uv,22.01,42.52,4h
2026-08-14T11:10:23.8656497Z,12780,python,3.12,0.8,4h
2026-08-14T11:10:23.8656497Z,10860,python,62.45,155.38,4h
2026-08-14T11:10:29.3637420Z,12392,uv,22.01,42.52,4h
2026-08-14T11:10:29.3637420Z,12780,python,3.12,0.8,4h
2026-08-14T11:10:29.3637420Z,10860,python,449.22,599.6,4h
2026-08-14T11:10:34.6068344Z,12392,uv,18.93,42.52,4h
2026-08-14T11:10:34.6068344Z,12780,python,2.58,0.8,4h
2026-08-14T11:10:34.6068344Z,10860,python,1144.03,1360.12,4h
2026-08-14T11:10:40.3099773Z,12392,uv,9.52,42.52,4h
2026-08-14T11:10:40.3099773Z,12780,python,2.58,0.8,4h
2026-08-14T11:10:40.3099773Z,10860,python,1284.95,1848.9,4h
2026-08-14T11:10:45.7332194Z,12392,uv,9.52,42.52,4h
2026-08-14T11:10:45.7332194Z,12780,python,2.58,0.8,4h
2026-08-14T11:10:45.7332194Z,10860,python,1338.88,2361.9,4h
2026-08-14T11:10:51.0920921Z,12392,uv,9.52,42.52,4h
2026-08-14T11:10:51.0920921Z,12780,python,1.3,0.8,4h
2026-08-14T11:10:51.0920921Z,10860,python,1468.76,2955.42,4h
2026-08-14T11:10:56.5186411Z,12392,uv,9.49,42.52,4h
2026-08-14T11:10:56.5186411Z,12780,python,1.29,0.8,4h
2026-08-14T11:10:56.5186411Z,10860,python,1594.25,3464.47,4h
