factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
accumulation_distribution,1.0.0,5m,false,56,0.24598761282593254,outside_candidate_n,0.00042527515550355445,1,signed_ic_v1,REJECTED
aggressive_buy_ratio,1.0.0,5m,false,42,0.30995905616217784,outside_candidate_n,-0.005616751557755627,-1,signed_ic_v1,REJECTED
aggressive_sell_ratio,1.0.0,5m,true,39,0.34881461091897514,top_n,0.0051924059251202415,1,signed_ic_v1,SELECTED
atr_distance,1.0.0,5m,false,65,0.22733892690075078,outside_candidate_n,-0.00037455397799948274,-1,signed_ic_v1,REJECTED
atr_percent,1.0.0,5m,true,31,0.3860831446882758,top_n,-0.010239193827126021,-1,signed_ic_v1,SELECTED
atr_slope,1.0.0,5m,false,46,0.28285467631066413,outside_candidate_n,0.0033963734012481114,1,signed_ic_v1,REJECTED
bollinger_bandwidth,1.0.0,5m,false,38,0.35298601522858214,redundant,-0.01021193176009603,-1,signed_ic_v1,REJECTED
bollinger_position,1.0.0,5m,false,10,0.5611513881486365,redundant,-0.04218671286356369,-1,signed_ic_v1,REJECTED
bollinger_width,1.0.0,5m,false,67,0.22053442192122147,outside_candidate_n,-0.002852510970975869,-1,signed_ic_v1,REJECTED
breakout_strength,1.0.0,5m,true,19,0.4991792403335217,top_n,-0.02958208608100039,-1,signed_ic_v1,SELECTED
buy_sell_imbalance,1.0.0,5m,false,47,0.2719006708601463,outside_candidate_n,-0.010430471743417137,-1,signed_ic_v1,REJECTED
chaikin_money_flow,1.0.0,5m,true,35,0.38278551341760647,top_n,-0.018283371011558636,-1,signed_ic_v1,SELECTED
choppiness_index,1.0.0,5m,false,51,0.2593168512163854,outside_candidate_n,0.0005006774700632677,1,signed_ic_v1,REJECTED
commodity_channel_index,1.0.0,5m,false,20,0.49766291982153354,redundant,-0.0299435786019243,-1,signed_ic_v1,REJECTED
detrended_price_oscillator,1.0.0,5m,false,44,0.2937056235774718,outside_candidate_n,0.004801674067537461,1,signed_ic_v1,REJECTED
distance_from_high,1.0.0,5m,false,21,0.4806222712074625,redundant,-0.027584257493189154,-1,signed_ic_v1,REJECTED
distance_from_low,1.0.0,5m,true,5,0.6290666295122587,top_n,-0.04117442856307175,-1,signed_ic_v1,SELECTED
donchian_position,1.0.0,5m,false,16,0.5376620735182468,redundant,-0.0399001117103596,-1,signed_ic_v1,REJECTED
ease_of_movement,1.0.0,5m,false,40,0.3154996652825536,outside_top_n,-0.0071982204112436545,-1,signed_ic_v1,REJECTED
efficiency_ratio,1.0.0,5m,false,48,0.27141823859609754,outside_candidate_n,0.0015229423677805656,1,signed_ic_v1,REJECTED
ema_distance,1.0.0,5m,true,3,0.6652137641690361,top_n,-0.04732250615579898,-1,signed_ic_v1,SELECTED
funding_acceleration,1.0.0,5m,false,50,0.2618058900146419,outside_candidate_n,0.005632571556340399,1,signed_ic_v1,REJECTED
