factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
rolling_return_median,1.0.0,15m,false,36,0.3504353629138273,outside_top_n,-0.006553847153782923,-1,signed_ic_v1,REJECTED
rsi,1.0.0,15m,true,13,0.5209004360565261,top_n,-0.022046843386144533,-1,signed_ic_v1,SELECTED
signed_volume,1.0.0,15m,true,25,0.4284593917746511,top_n,0.012512368040551626,1,signed_ic_v1,SELECTED
sma_distance,1.0.0,15m,false,4,0.5862468241428288,redundant,-0.023114791089182445,-1,signed_ic_v1,REJECTED
stochastic_d,1.0.0,15m,false,26,0.4261681526661632,redundant,-0.013146787357606153,-1,signed_ic_v1,REJECTED
stochastic_k,1.0.0,15m,true,9,0.5379243683913889,top_n,-0.026208594703828147,-1,signed_ic_v1,SELECTED
trade_intensity,1.0.0,15m,false,62,0.25340380019004805,outside_candidate_n,-0.006075016958931239,-1,signed_ic_v1,REJECTED
trend_angle,1.0.0,15m,false,33,0.35374846350145994,outside_top_n,-0.0028108106822563365,-1,signed_ic_v1,REJECTED
trend_persistence,1.0.0,15m,false,42,0.3257042677151712,outside_candidate_n,-0.008511563347791838,-1,signed_ic_v1,REJECTED
trend_slope,1.0.0,15m,false,34,0.3537481962973522,redundant,-0.0028107699021602582,-1,signed_ic_v1,REJECTED
ulcer_index,1.0.0,15m,false,47,0.2919747445549575,outside_candidate_n,-0.0011364595585990124,-1,signed_ic_v1,REJECTED
volume_rate_of_change,1.0.0,15m,false,69,0.23075372117730836,outside_candidate_n,-0.0015237235230425878,-1,signed_ic_v1,REJECTED
volume_trend,1.0.0,15m,false,55,0.2723241707026495,outside_candidate_n,-0.0011412101335214993,-1,signed_ic_v1,REJECTED
volume_zscore,1.0.0,15m,false,70,0.2300555118769644,outside_candidate_n,-0.0026401319086687886,-1,signed_ic_v1,REJECTED
williams_r,1.0.0,15m,false,10,0.537923349785186,redundant,-0.026208594703828147,-1,signed_ic_v1,REJECTED
