factor_name,factor_version,timeframe,selected,selection_rank,selection_score,selection_reason,selection_ic,selected_direction,orientation_policy,status
accumulation_distribution,1.0.0,1h,false,64,0.27287261479248365,outside_candidate_n,0.0006582740103246969,1,signed_ic_v1,REJECTED
aggressive_buy_ratio,1.0.0,1h,false,71,0.25029668490254153,outside_candidate_n,-0.0011180523401208514,-1,signed_ic_v1,REJECTED
aggressive_sell_ratio,1.0.0,1h,false,60,0.2807225081343976,outside_candidate_n,0.001114759121424652,1,signed_ic_v1,REJECTED
atr_distance,1.0.0,1h,false,50,0.31577540116591724,outside_candidate_n,0.002821022201922659,1,signed_ic_v1,REJECTED
atr_percent,1.0.0,1h,false,28,0.490975783045716,redundant,-0.013855970901368175,-1,signed_ic_v1,REJECTED
atr_slope,1.0.0,1h,false,51,0.31288451840058307,outside_candidate_n,0.0017047919645182727,1,signed_ic_v1,REJECTED
bollinger_bandwidth,1.0.0,1h,false,30,0.468215120600037,redundant,-0.013869617215483951,-1,signed_ic_v1,REJECTED
bollinger_position,1.0.0,1h,false,16,0.5580923470967823,redundant,-0.01672651846602783,-1,signed_ic_v1,REJECTED
bollinger_width,1.0.0,1h,false,56,0.293787884237211,outside_candidate_n,0.0031448459467687696,1,signed_ic_v1,REJECTED
breakout_strength,1.0.0,1h,true,33,0.4377711922466996,top_n,-0.00660627372847734,-1,signed_ic_v1,SELECTED
buy_sell_imbalance,1.0.0,1h,false,72,0.24791691441549538,outside_candidate_n,-0.003756955343230334,-1,signed_ic_v1,REJECTED
chaikin_money_flow,1.0.0,1h,false,39,0.3930560008009705,outside_top_n,-0.0108080250307595,-1,signed_ic_v1,REJECTED
choppiness_index,1.0.0,1h,false,52,0.3059948467625086,outside_candidate_n,0.003093460734814351,1,signed_ic_v1,REJECTED
commodity_channel_index,1.0.0,1h,false,22,0.5023296348616877,redundant,-0.011559141678568889,-1,signed_ic_v1,REJECTED
detrended_price_oscillator,1.0.0,1h,false,67,0.2625920497053865,outside_candidate_n,-0.00019013275916694876,-1,signed_ic_v1,REJECTED
distance_from_high,1.0.0,1h,false,38,0.3945536673183853,redundant,-0.002955719342070097,-1,signed_ic_v1,REJECTED
distance_from_low,1.0.0,1h,true,4,0.6852104281011264,top_n,-0.021397305116340637,-1,signed_ic_v1,SELECTED
donchian_position,1.0.0,1h,false,23,0.5009559976625446,redundant,-0.013972337446174125,-1,signed_ic_v1,REJECTED
